cidades_cred_rural_mt,credito_rural_mt
ACORIZAL,480000
ÁGUA BOA,12117408.26
ALTA FLORESTA,10343182.51
ALTO ARAGUAIA,14377519.28
ALTO BOA VISTA,2276244.04
ALTO GARÇAS,7961530.77
ALTO PARAGUAI,1864530.2
ALTO TAQUARI,670449
APIACÁS,407640
ARAGUAIANA,23336179.5
ARAGUAINHA,954346.68
ARAPUTANGA,1065509.1
ARENÁPOLIS,4229158.85
ARIPUANÃ,1692683.5
BARRA DO BUGRES,3996946.93
BARRA DO GARÇAS,16620884.11
BOM JESUS DO ARAGUAIA,18302732.82
BRASNORTE,27240396.42
CÁCERES,24062743.36
CAMPINÁPOLIS,8533631.46
CAMPO NOVO DO PARECIS,31106703.79
CAMPO VERDE,3990429.22
CAMPOS DE JÚLIO,1180518.71
CANABRAVA DO NORTE,1265125
CANARANA,29189118.52
CARLINDA,2082604.5
CASTANHEIRA,225000
CHAPADA DOS GUIMARÃES,6390353.49
CLÁUDIA,630747.59
COCALINHO,29089628.96
COLÍDER,3487446.86
COMODORO,16074410.12
CONFRESA,14168631.04
CONQUISTA D'OESTE,3137507.91
CUIABÁ,800000
CURVELÂNDIA,1101453.48
DENISE,2702254.61
DIAMANTINO,9100240.72
DOM AQUINO,6291391.56
FELIZ NATAL,1049019.2
FIGUEIRÓPOLIS D'OESTE,705294.31
GAÚCHA DO NORTE,13026122.89
GENERAL CARNEIRO,8562641.3
GUARANTÃ DO NORTE,1087491.28
GUIRATINGA,8152669.51
INDIAVAÍ,1863188.86
IPIRANGA DO NORTE,9806587.65
ITANHANGÁ,2234894
ITAÚBA,2392806
ITIQUIRA,9568671.77
JACIARA,6650050.34
JANGADA,527325
JAURU,474727.8
JUARA,42550705.77
JUÍNA,1518836.25
JURUENA,283798
JUSCIMEIRA,1514245
LAMBARI D'OESTE,4173089.66
LUCAS DO RIO VERDE,535123
LUCIARA,1839783.41
MARCELÂNDIA,1827929.64
MATUPÁ,9992396.44
MIRASSOL D'OESTE,4640000
NOBRES,1594994.09
NORTELÂNDIA,248149.8
NOSSA SENHORA DO LIVRAMENTO,3475048.73
NOVA BANDEIRANTES,211680
NOVA BRASILÂNDIA,4455431
NOVA CANAÃ DO NORTE,8466122.44
NOVA GUARITA,293143.35
NOVA LACERDA,32195098.35
NOVA MARILÂNDIA,11041446.86
NOVA MARINGÁ,1776769.2
NOVA MONTE VERDE,7126196.27
NOVA MUTUM,29547239.3
NOVA NAZARÉ,6693891.35
NOVA OLÍMPIA,857725.55
NOVA SANTA HELENA,5812168.25
NOVA UBIRATÃ,12104649.37
NOVA XAVANTINA,15210911.62
NOVO HORIZONTE DO NORTE,1498877
NOVO SÃO JOAQUIM,9036928.66
PARANAÍTA,4937381.67
PARANATINGA,22787094.06
PEDRA PRETA,6507947.05
PEIXOTO DE AZEVEDO,652876.32
PLANALTO DA SERRA,967810
POCONÉ,4971866.44
PONTAL DO ARAGUAIA,5262865.77
PONTES E LACERDA,33256803.1
PORTO ALEGRE DO NORTE,9067440.31
PORTO DOS GAÚCHOS,2543882.67
PORTO ESPERIDIÃO,11209130.01
PORTO ESTRELA,1667337.87
POXORÉU,14186690.6
PRIMAVERA DO LESTE,5354194.56
QUERÊNCIA,31915796.56
RESERVA DO CABAÇAL,499844.16
RIBEIRÃO CASCALHEIRA,17616112.27
RIO BRANCO,2236535.49
RONDOLÂNDIA,2161985.04
RONDONÓPOLIS,16650162.37
ROSÁRIO OESTE,3234624.53
SALTO DO CÉU,6838354.96
SANTA CRUZ DO XINGU,20167727.78
SANTA RITA DO TRIVELATO,3603233.5
SANTA TEREZINHA,7032244.47
SANTO AFONSO,36470079.28
SANTO ANTÔNIO DO LESTE,5610157.14
SANTO ANTÔNIO DO LEVERGER,6304394.87
SÃO FÉLIX DO ARAGUAIA,37243226.41
SÃO JOSÉ DO RIO CLARO,536290.6
SÃO JOSÉ DO XINGU,27144547.64
SÃO JOSÉ DOS QUATRO MARCOS,4649622
SAPEZAL,11940288.54
SERRA NOVA DOURADA,5225455
SINOP,4000205.82
SORRISO,9276819.08
TABAPORÃ,2666722.66
TANGARÁ DA SERRA,6292815.16
TAPURAH,11299975.7
TERRA NOVA DO NORTE,1531954.96
TESOURO,3463053.59
TORIXORÉU,4140579.06
VALE DE SÃO DOMINGOS,795075.45
VERA,1932584.57
VILA BELA DA SANTÍSSIMA TRINDADE,68731840.35
VILA RICA,15386280.4
